Company Name,Industry,CMP Rs.,Mar Cap Rs.Cr.,P/E,EV / EBITDA,Earnings Yield %,CMP / BV,ROE %,Sales growth %,Profit growth %,From 52w high,50 DMA Rs.,200 DMA Rs.,Last Close,Pivot,S1,S2,R1,R2,SMA50,SMA200,Trend,ATR,StopLoss,TargetPrice,_ticker,_fetched_at,_status
Century Plyboards (India) Ltd.,Consumer Durables,758.5,16885.15,64.24345,28.595,,6.4774013,10.7130006,24.5,48.699999999999996,11.7,768.06,769.45,758.5,758.5,747.65,735.85,770.3,781.15,768.06,769.45,Downtrend,22.79,729.66,804.08,CENTURYPLY.NS,2026-06-22 00:45:44,OK
Cera Sanitaryware Ltd,Consumer Durables,6448.0,8316.61,40.666374,27.914,,5.6507397,14.376000999999999,10.9,-9.700000000000001,9.18,5628.04,5507.57,6448.0,6198.33,6097.17,6034.33,6261.17,6362.33,5628.04,5507.57,Uptrend,210.86,6026.29,6869.71,CERA.NS,2026-06-22 00:45:45,OK
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,275.25,18039.3,,20.839,,5.9927044,-6.337,10.8,,23.29,273.06,268.91,275.25,276.35,273.85,270.6,279.6,282.1,273.06,268.91,Uptrend,7.85,259.54,290.96,CROMPTON.NS,2026-06-22 00:45:46,OK
Dixon Technologies (India) Ltd.,Consumer Durables,12517.0,76434.06,46.711506,35.183,,14.003175,37.133,2.1,-36.1,32.23,11354.11,12973.36,12517.0,12730.67,12531.33,12396.67,12865.33,13064.67,11354.11,12973.36,Sideways,380.21,11756.57,13277.43,DIXON.NS,2026-06-22 00:45:47,OK
Havells India Ltd.,Consumer Durables,1176.3,74003.76,43.793617,33.84,,7.826566,18.969999,2.5,39.6,26.85,1215.96,1364.71,1176.3,1195.9,1182.7,1171.0,1207.6,1220.8,1215.96,1364.71,Downtrend,29.24,1155.16,1234.77,HAVELLS.NS,2026-06-22 00:45:47,OK
"JSW Dulux Ltd
",Consumer Durables,3291.8,15096.61,7.6465297,,,6.1582875,,,,12.1,3020.13,3141.89,3291.8,3225.67,3195.43,3159.97,3261.13,3291.37,3020.13,3141.89,Sideways,111.21,3069.39,3514.21,JSWDULUX.NS,2026-06-22 00:45:48,OK
Kajaria Ceramics Ltd.,Consumer Durables,1170.4,18618.93,38.127853,21.015,,6.072822,16.499001,12.4,265.9,10.59,1118.28,1075.59,1170.4,1160.17,1154.33,1144.57,1169.93,1175.77,1118.28,1075.59,Uptrend,26.38,1117.64,1223.16,KAJARIACER.NS,2026-06-22 00:45:49,OK
Kalyan Jewellers India Ltd.,Consumer Durables,383.5,39657.22,29.447853,19.849,,6.278511,24.305001,66.9,117.0,37.73,383.06,439.97,383.5,382.67,380.63,378.32,384.98,387.02,383.06,439.97,Sideways,15.45,363.91,414.39,KALYANKJIL.NS,2026-06-22 00:45:50,OK
PG Electroplast Ltd.,Consumer Durables,560.5,16058.23,81.64006,41.924,,5.272284,6.69,-10.100000000000001,-56.99999999999999,32.96,509.21,549.13,560.5,559.22,551.53,538.82,571.93,579.62,509.21,549.13,Sideways,20.76,518.98,602.02,PGEL.NS,2026-06-22 00:45:51,OK
Titan Company Ltd.,Consumer Durables,4419.9,391275.66,77.35882,50.132,,24.938517,37.127998,80.5,35.099999999999994,4.02,4272.06,4001.41,4419.9,4377.0,4344.0,4300.1,4420.9,4453.9,4272.06,4001.41,Uptrend,104.7,4210.5,4629.3,TITAN.NS,2026-06-22 00:45:51,OK
V-Guard Industries Ltd.,Consumer Durables,311.25,13606.44,44.5,25.739,,6.2323685,13.793,14.099999999999998,23.1,23.75,317.4,334.68,311.25,308.73,305.72,300.98,313.47,316.48,317.4,334.68,Downtrend,7.45,301.53,326.14,VGUARD.NS,2026-06-22 00:45:52,OK
Voltas Ltd.,Consumer Durables,1343.4,44642.97,118.1436,62.047,,7.0523906,5.7189997,2.5,-51.800000000000004,14.84,1335.93,1378.52,1343.4,1357.5,1344.6,1331.6,1370.5,1383.4,1335.93,1378.52,Sideways,41.19,1269.13,1425.79,VOLTAS.NS,2026-06-22 00:45:53,OK
Whirlpool of India Ltd.,Consumer Durables,794.95,10115.55,34.457417,19.433,,2.430834,7.2459996,8.799999999999999,-32.800000000000004,45.85,870.25,997.23,794.95,801.83,788.67,769.83,820.67,833.83,870.25,997.23,Downtrend,20.33,826.73,835.61,WHIRLPOOL.NS,2026-06-22 00:45:54,OK
Aditya Birla Fashion and Retail Ltd.,Consumer Services,60.64,7401.66,,18.123,,1.2672125,-12.692999999999998,15.7,,36.13,63.13,71.99,60.64,61.75,60.95,60.35,62.35,63.15,63.13,71.99,Downtrend,1.69,59.97,64.02,ABFRL.NS,2026-06-22 00:45:54,OK
